iter	RMSE
235	4.644806116
236	4.642696643
237	4.640387487
238	4.634427518
239	4.632691884
240	4.628735358
241	4.626406396
242	4.624810598
243	4.621788252
244	4.619527553
245	4.614537103
246	4.609713346
247	4.605865289
248	4.603687611
249	4.599127469
250	4.596423844
251	4.59437402
252	4.592568743
253	4.588876238
254	4.582141233
255	4.580094414
256	4.573627036
257	4.570689494
258	4.568891374
259	4.56426971
260	4.562017664
261	4.560251857
262	4.555673984
263	4.551570057
264	4.550596149
265	4.546607547
266	4.539360644
267	4.535769432
268	4.529587258
269	4.525537559
270	4.521353856
271	4.516603317
272	4.512880705
273	4.511167916
274	4.506515599
275	4.499580706
276	4.498585828
277	4.496195328
278	4.491723956
279	4.490319546
280	4.487409923
281	4.485040836
282	4.481267486
283	4.478785649
284	4.47444952
285	4.468629724
286	4.463617905
287	4.45953425
288	4.456906712
289	4.455706954
290	4.452313389
291	4.449651055
292	4.447747642
293	4.443237249
294	4.440427113
295	4.438494697
296	4.436776681
297	4.435523749
298	4.430577768
299	4.429000995
300	4.423231299
301	4.422269081
302	4.415949902
303	4.413440436
304	4.409490171
305	4.403901076
306	4.401285386
307	4.397244477
308	4.395430365
309	4.393863562
310	4.389860951
311	4.388152383
312	4.383264939
313	4.382120807
314	4.380133623
315	4.376625098
316	4.374307411
317	4.372585914
318	4.366211148
319	4.360615231
320	4.356232871
321	4.35156496
322	4.347225648
323	4.343653821
324	4.339140508
325	4.33766203
326	4.332969428
327	4.328361839
328	4.324035358
329	4.320410634
330	4.315456847
331	4.312707277
332	4.308400852
333	4.30478487
334	4.299189638
335	4.29539617
336	4.291592814
337	4.289655926
338	4.288267237
339	4.286502273
340	4.282442174
341	4.279973971
342	4.275520393
343	4.272292551
344	4.266953729
345	4.261736304
346	4.25756366
347	4.253420581
348	4.250931245
349	4.248980046
350	4.246381594
351	4.241489274
352	4.240790483
353	4.238424697
354	4.237137756
355	4.235157375
356	4.23205164
357	4.23128149
358	4.227330155
359	4.225200234
360	4.221441535
361	4.217909756
362	4.216645396
363	4.212168916
364	4.207117867
365	4.203943089
366	4.199053346
367	4.195997184
368	4.193850127
369	4.18903438
370	4.184168688
371	4.18306424
372	4.176760478
373	4.173461997
374	4.172747271
375	4.169898812
376	4.167757624
377	4.161777072
378	4.157947237
379	4.151390889
380	4.14891132
381	4.147810231
382	4.147138762
383	4.143141119
384	4.14176796
385	4.137264814
386	4.13620108
387	4.132701344
388	4.126929686
389	4.123055188
390	4.121877932
391	4.119929925
392	4.119016053
393	4.11858127
394	4.112371745
395	4.111940922
396	4.108784807
397	4.106094457
398	4.100171196
399	4.09456881
400	4.093575126
401	4.088554609
402	4.083139979
403	4.077416825
404	4.072693506
405	4.070820769
406	4.068512202
407	4.066498697
408	4.063167213
409	4.05914166
410	4.056090666
411	4.051980971
412	4.047503746
413	4.043328534
414	4.040273229
415	4.036365883
416	4.030719237
417	4.029644212
418	4.024395542
419	4.018074483
420	4.015144129
421	4.014511305
422	4.010371835
423	4.005121564
424	4.003192871
425	4.001174955
426	4.000751443
427	3.997428797
428	3.994194966
429	3.990805678
430	3.990211387
431	3.987348266
432	3.986471154
433	3.984829526
434	3.980005589
435	3.976588429
436	3.97299122
437	3.971159887
438	3.969212289
439	3.965791524
440	3.965188042
441	3.964303584
442	3.961133666
443	3.958512156
444	3.955764019
445	3.952953096
446	3.952079568
447	3.950330451
448	3.946672475
449	3.942515627
450	3.938949904
451	3.938597458
452	3.936053949
453	3.930941463
454	3.926703655
455	3.923737639
456	3.921425997
457	3.919186867
458	3.914346414
459	3.912633578
460	3.910088973
461	3.906217128
462	3.901502102
463	3.896978677
464	3.892115578
465	3.888647605
466	3.88437702
467	3.881045824
468	3.878732836
469	3.874579109
470	3.871449582
471	3.868223801
472	3.864900265
473	3.86281667
474	3.861783656
475	3.859240371
476	3.854448922
477	3.850882003
478	3.848475898
479	3.84707192
480	3.846055348
481	3.845321886
482	3.839061339
483	3.837432755
484	3.834337903
485	3.833438591
486	3.832585822
487	3.828902633
488	3.82517659
489	3.822812054
490	3.821528129
491	3.819578292
492	3.816048566
493	3.812600089
494	3.810682865
495	3.806985057
496	3.803142593
497	3.799096244
498	3.797745206
499	3.793639538
500	3.791886052
501	3.790359065
502	3.789953821
503	3.78737257
504	3.786113552
505	3.783384256
506	3.782048704
507	3.779570228
508	3.776594562
509	3.773040022
510	3.770607697
511	3.768215379
512	3.765789837
513	3.764006856
514	3.763479594
515	3.762514191
516	3.760787984
517	3.758839774
518	3.757418769
519	3.757102384
520	3.752289875
521	3.749367719
522	3.746960915
523	3.746651737
524	3.743158824
525	3.738803544
526	3.736754618
527	3.730749459
528	3.729489257
529	3.72698351
530	3.724687437
531	3.7216604
532	3.717462658
533	3.71366032
534	3.711398125
535	3.709623746
536	3.706346822
537	3.705943928
538	3.704363532
539	3.703751681
540	3.700456567
541	3.696465421
542	3.69273129
543	3.690515645
544	3.688261656
545	3.687968945
546	3.685150153
547	3.684275869
548	3.680489287
549	3.678269684
550	3.674444643
551	3.670748441
552	3.668059874
553	3.666376744
554	3.665945427
555	3.663799173
556	3.661996035
557	3.661717812
558	3.661435402
559	3.657991204
560	3.655022056
561	3.651825235
562	3.650757659
563	3.649688418
564	3.649395889
565	3.647674665
566	3.643543261
567	3.641417429
568	3.639552936
569	3.638183865
570	3.636016601
571	3.632460987
572	3.630663405
573	3.630403782
574	3.628407361
575	3.62602538
576	3.625205886
577	3.624075935
578	3.622225555
579	3.617596775
580	3.61571651
581	3.614117927
582	3.612138239
583	3.610674292
584	3.608788908
585	3.605906004
586	3.604832581
587	3.603228844
588	3.600905559
589	3.596320704
590	3.595296108
591	3.592900244
592	3.588575721
593	3.587749884
594	3.585661371
595	3.583594289
596	3.581341791
597	3.580488112
598	3.578648219
599	3.57481946
600	3.573388336
601	3.57315236
602	3.569887795
603	3.565799602
604	3.563846494
605	3.561391363
606	3.560014168
607	3.558276845
608	3.55496662
609	3.552533397
610	3.551544775
611	3.551296867
612	3.547982489
613	3.546521309
614	3.54385301
615	3.542670347
616	3.539307518
617	3.535239526
618	3.531536104
619	3.529763282
620	3.528879718
621	3.5273225
622	3.524639423
623	3.524394603
624	3.523072862
625	3.51917948
626	3.517821854
627	3.514998424
628	3.511820821
629	3.510652348
630	3.509486587
631	3.505435249
632	3.503775437
633	3.501527912
634	3.496078659
635	3.49371121
636	3.490638025
637	3.490404196
638	3.489457646
639	3.487873093
640	3.487633445
641	3.483737053
642	3.483491914
643	3.482517897
644	3.47919757
645	3.478968627
646	3.473688807
647	3.470420938
648	3.470237828
649	3.468853602
650	3.46863256
651	3.467167863
652	3.466527755
653	3.464572483
654	3.462641455
655	3.458440971
656	3.455875702
657	3.454684792
658	3.453471454
659	3.451342269
660	3.449910297
661	3.449648897
662	3.448746926
663	3.448472716
664	3.447586395
665	3.44364945
666	3.443394454
667	3.440601912
668	3.440090763
669	3.439829889
670	3.439653675
671	3.437988328
672	3.436857641
673	3.433699192
674	3.4306827
675	3.427485889
676	3.42453215
677	3.421953829
678	3.420633927
679	3.41861041
680	3.415573229
681	3.413770292
682	3.410798451
683	3.40993167
684	3.40623652
685	3.403386217
686	3.401586625
687	3.399903154
688	3.395138868
689	3.394049128
690	3.393460391
691	3.390592871
692	3.388926334
693	3.387809824
694	3.387623933
695	3.385597607
696	3.382554014
697	3.380640169
698	3.377600071
699	3.376502637
700	3.376317747
701	3.373260927
702	3.370833721
703	3.368753573
704	3.365764909
705	3.362514344
706	3.360848962
707	3.3587666
708	3.358540264
709	3.357429777
710	3.356792803
711	3.354450118
712	3.350657127
713	3.348128953
714	3.346352409
715	3.345163848
716	3.342917965
717	3.342192516
718	3.338653042
719	3.337504566
720	3.336303936
721	3.332805499
722	3.331647629
723	3.329018366
724	3.327611737
725	3.32737047
726	3.327200917
727	3.325707711
728	3.323399767
729	3.321275497
730	3.31791066
731	3.315579296
732	3.311732197
733	3.310949109
734	3.309229299
735	3.307264967
736	3.307035999
737	3.306509724
738	3.306353177
739	3.305192321
740	3.302809797
741	3.299716046
742	3.296206352
743	3.293441121
744	3.291425737
745	3.291094695
746	3.288680333
747	3.286848493
748	3.285021768
749	3.282956425
750	3.279765098
751	3.276559532
752	3.276401845
753	3.276250116
754	3.273949876
755	3.272443872
756	3.270396809
757	3.267540193
758	3.263902208
759	3.260954694
760	3.259987546
761	3.257073134
762	3.255976621
763	3.253461302
764	3.251751762
765	3.249317382
766	3.248419311
767	3.246495426
768	3.245469189
769	3.24532992
770	3.243890296
771	3.24267626
772	3.238290733
773	3.236728709
774	3.236586671
775	3.2362199
776	3.234247953
777	3.231871342
778	3.23055941
779	3.229596603
780	3.229457902
781	3.228098322
782	3.227861968
783	3.224847603
784	3.223410302
785	3.222444693
786	3.221802842
787	3.220672543
788	3.217554209
789	3.217002352
790	3.216819706
791	3.215846036
792	3.21421119
793	3.212626518
794	3.210532196
795	3.207544703
796	3.20607886
797	3.202987444
798	3.202741305
799	3.202662434
800	3.202033563
801	3.199957116
802	3.197805173
803	3.195941495
804	3.194596715
805	3.191128119
806	3.18886514
807	3.186879648
808	3.18396457
809	3.182909957
810	3.182301722
811	3.181539521
812	3.179288557
813	3.179163666
814	3.178222866
815	3.176280502
816	3.174419535
817	3.173357406
818	3.172523555
819	3.171460228
820	3.171065488
821	3.168696346
822	3.165565213
823	3.164711342
824	3.16414299
825	3.16375432
826	3.161730511
827	3.160101654
828	3.157139272
829	3.156301013
830	3.154303576
831	3.151675135
832	3.149792308
833	3.149380717
834	3.147335168
835	3.145198654
836	3.143992035
837	3.141881972
838	3.140172721
839	3.137329828
840	3.136931395
841	3.135057223
842	3.134269497
843	3.132218851
844	3.130603649
845	3.128134788
846	3.127918574
847	3.126612067
848	3.121782086
849	3.120071604
850	3.118632502
851	3.115373871
852	3.114516765
853	3.111000359
854	3.109367907
855	3.105228266
856	3.103580618
857	3.10255595
858	3.102493331
859	3.102409673
860	3.100743534
861	3.098771815
862	3.096249777
863	3.093008798
864	3.090983343
865	3.089843516
866	3.087055112
867	3.084766051
868	3.081806587
869	3.080831917
870	3.079636738
871	3.078467661
872	3.074349885
873	3.073510297
874	3.072017523
875	3.070074715
876	3.068744409
877	3.068643385
878	3.067680354
879	3.067108489
880	3.065290169
881	3.064566978
882	3.063845502
883	3.059223148
884	3.057795214
885	3.053383215
886	3.051567666
887	3.050158456
888	3.048551757
889	3.046486131
890	3.043519309
891	3.042406085
892	3.039885562
893	3.03820556
894	3.036410496
895	3.035716553
896	3.033061492
897	3.030301348
898	3.028320045
899	3.026217108
900	3.025599511
901	3.023640736
902	3.022706229
903	3.019681273
904	3.019091152
905	3.01837306
906	3.017897334
907	3.016392265
908	3.014414771
909	3.013683088
910	3.011785065
911	3.01015057
912	3.00803077
913	3.007092625
914	3.006132453
915	3.005281102
916	3.003472035
917	3.000475877
918	2.998080438
919	2.995664126
920	2.993718114
921	2.992189653
922	2.990981592
923	2.99037235
924	2.989469354
925	2.988540013
926	2.986737309
927	2.985730651
928	2.983844486
929	2.983106173
930	2.9816699
931	2.979010297
932	2.975533828
933	2.974106668
934	2.972162042
935	2.971036397
936	2.969229683
937	2.967808011
938	2.964951862
939	2.963047425
940	2.961354576
941	2.959196351
942	2.956874871
943	2.955971202
944	2.954288242
945	2.953130937
946	2.95140273
947	2.949486551
948	2.948853901
949	2.94772098
950	2.946976664
951	2.94566018
952	2.944683115
953	2.943480848
954	2.943411501
955	2.942392561
956	2.941718201
957	2.939410767
958	2.938777991
959	2.937824583
960	2.936182747
961	2.935390333
962	2.934591254
963	2.933493515
964	2.930818425
965	2.930312581
966	2.929878036
967	2.926901643
968	2.925958396
969	2.924028481
970	2.922282697
971	2.921023905
972	2.920267421
973	2.917681473
974	2.917059316
975	2.914912677
976	2.914489868
977	2.913635445
978	2.911689294
979	2.91038778
980	2.910028762
981	2.907579931
982	2.90609241
983	2.903963444
984	2.903298545
985	2.902868031
986	2.901030767
987	2.900114971
988	2.899162274
989	2.896222155
990	2.89473874
991	2.892403932
992	2.892088902
993	2.890963371
994	2.88990835
995	2.889472363
996	2.88829279
997	2.886858365
998	2.884213389
999	2.882816997
